Comment,Designator,PackageReference,Supplier Part Number 3

"100n","C101, C108, C109, C110, C113, C118, C119, C121, C122, C124, C127, C128, C129, C130, C139, C170, C175, C180, C185, C190, C195, C204, C205, C206, C207, C216, C217, C218, C219, C220, C221, C222, C230, C231, C232, C233, C270, C275, C280, C285, C430, C431, C460, C461, C1000, C1002, C1003","C0402","C1525"
"4.7u","C102, C103, C104, C137, C138, C140","C0402","C23733"
"2.2u","C114, C131, C223, C224, C229","C0402","C12530"
"12p","C115, C116","C0402","C1547"
"18p","C132, C136","C0402","C1549"
"1u","C133","C0402","C52923"
"1n","C200, C201, C203, C225, C226, C227, C228, C490, C491, C492, C493, C494, C495, C496, C497","C0402","C1523"
"10n","C202, C208, C209, C210, C211, C212, C213, C214, C215","C0402","C15195"
"22u","C450, C451","C0603","C59461"
"LED-BLUE-0603","D2, D3, D4, D5, D6, D7, D8, D9, D105","LED-0603","C72041"
"B5819W","D101, D107","SOD-123","C8598"
"SRV05-4-P-T7","D102, D200, D201, D202, D203, D204, D206, D207","SOT23-6","C85364"
"LED-RED-0603","D103","LED-0603","C2286"
"LED-GREEN-0603","D104, D108","LED-0603","C72043"
"LED-YELLOW-0603","D106","LED-0603","C72038"
"P6SMB6.8CA","D205","SMB","C78395"
"PESD1CAN","D430","SOT-23","C343993"
"SMD1206B035TF/16","F101","SMD1206","C269114"
"Molex MicroSD 47219-2001","J450","SDAMB-012","C164170"
"Module:mega_mcu144/0.1","M1000","",""
"470","R64, R65, R101","R0603-4","C25510"
"10k","R102, R103, R105, R121, R127, R128, R228, R229, R230, R231, R232, R233, R234, R235, R246, R247, R248, R249, R250, R251, R252, R253, R490, R491, R492, R493, R494, R495, R496, R497, R1000","R0402","C11616"
"100","R104, R106","R0603","C22775"
"470","R107","R0402","C25117"
"47","R114","R0402","C25118"
"2.2k","R122, R123","R0402","C25879"
"4.7k","R125, R170, R171, R175, R176, R180, R181, R185, R186, R190, R191, R196, R197, R200, R209, R218, R227, R236, R245, R257","R0603-4","C66697, C1980"
"10k","R129, R130, R498","R0603-4","C29718"
"0","R131","R0402","C17168"
"510","R133, R134","R0603","C23193"
"5.1k","R195","R0402","C25905"
"680k","R201, R202, R203, R204, R205, R206, R207, R208, R221, R222, R225, R226, R237, R238, R239, R240, R241, R242, R243, R244, R259, R260, R261, R262, R263, R264, R265, R266","R0402","C163456"
"4.7k","R210, R211, R212, R213, R214, R215, R216, R217, R219, R220, R223, R224","R0402","C25900"
"510","R254, R255, R256, R258","R0402","C25123"
"120","R430","R0603","C22787"
"33k","R450","R0603","C4216"
"10","R461, R462, R463, R464, R466, R467, R468, R469","R0402","C25077"
"RST","S1000","SMD-2_2.9x3.9x1.7","C115357"
"PROG","S1001","SMD-2_2.9x3.9x1.7","C115357"
"AMS1117-3.3","U101","SOT-223","C6186"
"STM32H743ZIT6","U105","LQFP144","C114408"
"XC6206P332MR","U111","SOT-23","C5446"
"MCP6004","U170, U175, U180, U185, U190, U195","TSSOP14","C50282"
"NC7SB3157P6X","U270, U275, U280, U285","","C87403"
"TJA1051T/3/1J","U430","SO8","C38695"
"SN74LVC4245APWR","U460","TSSOP24","C7859"
"74LVC2G17GW,125","U490, U491","SOT-363","C80500"
"LIS2DH12TR","U1001","LGA12","C110926"
"LPS22HBTR","U1002","","C94049"
"BAT54S","VD490, VD491, VD492, VD493","","C47546"
"32.768 kHz","Y101","SMD2012","C99009"
"20 MHz","Y102","SMD5032","C112566"
